,EventID,Event_type,Name,Start_Time,Start_Hour,End_Time
169,1.52E+15,basketball,Harlem Globetrotters,2016-01-02T14:00:00-0500,,2016-01-02T16:00:00-0500
168,1.49E+15,basketball,Harlem Globetrotters,2016-01-02T19:00:00-0500,,2016-01-02T21:00:00-0500
167,2.01E+14,basketball,Brooklyn Nets vs. Boston Celtics,2016-01-04T19:30:00-0500,,2016-01-04T21:30:00-0500
166,1.08E+15,basketball,Brooklyn Nets vs. Toronto Raptors,2016-01-06T19:30:00-0500,,2016-01-06T21:30:00-0500
165,1.39E+15,basketball,Brooklyn Nets vs. Orlando Magic,2016-01-08T19:30:00-0500,,2016-01-08T21:30:00-0500
164,1.23E+15,basketball,Brooklyn Nets vs. San Antonio Spurs,2016-01-11T19:30:00-0500,,2016-01-11T21:30:00-0500
163,9.20E+14,basketball,Brooklyn Nets vs. New York Knicks,2016-01-13T19:30:00-0500,,2016-01-13T21:30:00-0500
162,1.11E+14,basketball,Brooklyn Nets vs. Portland Trail Blazers,2016-01-15T19:30:00-0500,,2016-01-15T21:30:00-0500
161,1.72E+15,boxing,Heavyweight Championship: Deontay Wilder v. Artur Szpilka,2016-01-16T18:00:00-0500,,2016-01-16T19:00:00-0500
160,6.49E+14,family,Brooklyn Open Skate - Session 1 (9AM - 10:45AM),2016-01-18T09:00:00-0500,,2016-01-18T10:45:00-0500
159,9.43E+14,family,Brooklyn Open Skate - Session 2 (11:15AM - 1PM),2016-01-18T11:15:00-0500,,2016-01-18T13:00:00-0500
158,1.65E+15,basketball,Brooklyn Nets vs. Cleveland Cavaliers,2016-01-20T19:30:00-0500,,2016-01-20T21:30:00-0500
157,1.66E+15,concert,Kygo,2016-01-21T20:00:00-0500,,2016-01-21T23:00:00-0500
156,8.87E+14,basketball,Brooklyn Nets vs. Utah Jazz,2016-01-22T19:30:00-0500,,2016-01-22T21:30:00-0500
155,4.64E+14,basketball,Brooklyn Nets vs. Oklahoma City Thunder,2016-01-24T19:30:00-0500,,2016-01-24T21:30:00-0500
