,EventID,Name,Start_Time,Start_Hour,weekday
0,907621312715743,WWE Live Holiday Tour,2016-12-28 19:30:00,19,True
1,1116120618427406,New York Islanders V Washington Capitals,2016-12-27 19:00:00,19,True
2,1185458834828646,Brooklyn Nets v. Charlotte Hornets (Winter Scarf Giveaway),2016-12-26 19:30:00,19,True
4,1580711665559981,New York Islanders V Buffalo Sabres,2016-12-23 19:00:00,19,True
5,1180267432015879,Brooklyn Nets v. Golden State Warriors,2016-12-22 19:30:00,19,True
6,1196970867053827,LIU Brooklyn Blackbirds Men's Basketball vs. Niagara University Purple Eagles Men's Basketball,2016-12-21 17:00:00,17,True
7,238989339819391,New York Islanders V Ottawa Senators (Ugly Holiday T-Shirt Giveaway),2016-12-18 19:00:00,19,False
8,1226899760668214,New York Islanders V Chicago Blackhawks,2016-12-15 19:00:00,19,True
9,1252195981457288,Brooklyn Nets v. Los Angeles Lakers,2016-12-14 19:30:00,19,True
10,973791196075229,New York Islanders v. Washington Capitals (Star Wars Beanie Giveaway),2016-12-13 19:00:00,19,True
12,1322055567827163,Wcbs-Fm 101.1 Presents Holiday in Brooklyn,2016-12-09 20:00:00,20,True
13,1562081424095804,New York Islanders v. St. Louis Blues,2016-12-08 19:00:00,19,True
14,1223647011003012,Brooklyn Nets v. Denver Nuggets (Brook Lopez Star Wars Bobblehead),2016-12-07 19:30:00,19,True
15,657320081091821,New York Islanders v. New York Rangers,2016-12-06 19:00:00,19,True
16,1768095856793067,Brooklyn Nets v. Washington Wizards,2016-12-05 19:30:00,19,True
17,201884300208100,New York Islanders v. Detroit Red Wings,2016-12-04 18:00:00,18,False
18,955480901244313,Brooklyn Nets v. Milwaukee Bucks,2016-12-01 19:30:00,19,True
19,261893130840191,New York Islanders v. Pittsburgh Penguins,2016-11-30 20:00:00,20,True
20,1024994167614720,Brooklyn Nets v. Los Angeles Clippers,2016-11-29 19:30:00,19,True
21,1772647766355561,New York Islanders v. Calgary Flames (Rally Towel Giveaway),2016-11-28 19:00:00,19,True
22,552373218299044,Brooklyn Nets v. Sacramento Kings (Texting Gloves Giveaway),2016-11-27 18:00:00,18,False
24,291914924483721,Barclays Center Classic Day 2,2016-11-26 19:00:00,19,False
26,584138175081094,Barclays Center Classic Day 1,2016-11-25 19:00:00,19,True
29,939311906177781,Brooklyn Nets v. Boston Celtics,2016-11-23 19:30:00,19,True
33,178214182624729,Legends Classic Basketball Doubleheader,2016-11-21 19:00:00,19,True
35,236537223383401,Keith Urban - ripCORD World Tour 2016,2016-11-19 19:30:00,19,False
36,1623047984689276,New York Islanders V Pittsburgh Penguins,2016-11-18 19:00:00,19,True
37,1641260189499770,LIU Brooklyn Blackbirds Men's Basketball vs. Loyola Greyhounds Men's Basketball,2016-11-16 19:00:00,19,True
38,157000274715010,New York Islanders v. Tampa Bay Lightning (Brock Nelson Bobblehead),2016-11-14 19:00:00,19,True
39,893475784113826,Disney On Ice presents Follow Your Heart,2016-11-13 17:00:00,17,False
41,290768101276242,Disney On Ice presents Follow Your Heart,2016-11-12 19:00:00,19,False
44,1065327656887233,Disney On Ice presents Follow Your Heart,2016-11-11 19:00:00,19,True
46,619860648189841,Disney On Ice presents Follow Your Heart,2016-11-10 19:00:00,19,True
48,1639372623045696,Disney On Ice presents Follow Your Heart,2016-11-09 19:00:00,19,True
49,310809709264987,Brooklyn Nets v. Minnesota Timberwolves,2016-11-08 19:30:00,19,True
50,300699940267162,New York Islanders v. Vancouver Canucks (Cal Clutterbuck Bobblehead),2016-11-07 19:00:00,19,True
51,282935338717918,Kellogg's Tour Of Gymnastics Champions,2016-11-06 17:00:00,17,False
52,273446563045836,New York Islanders v. Edmonton Oilers,2016-11-05 19:00:00,19,False
53,1161824883855814,Brooklyn Nets vs. Charlotte Hornets,2016-11-04 19:30:00,19,True
54,508163749391412,New York Islanders v. Philadelphia Flyers,2016-11-03 19:00:00,19,True
