,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,stopdate,Event_type,End_Time,E_Time,TripStartHM,EventEndHM
0,609,21:09:36,21:19:46,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,406,Hicks St & Montague St,40.69512845,-73.99595065,23699,Subscriber,1962.0,1,2016-01-01,2016-01-01,,2017-12-05 21:00:00,21:00:00,21.15,21.0
1,397,21:51:17,21:57:54,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,365,Fulton St & Grand Ave,40.68223166,-73.9614583,14918,Subscriber,1970.0,1,2016-01-01,2016-01-01,,2017-12-05 21:00:00,21:00:00,21.85,21.0
2,218,21:06:04,21:09:42,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,17533,Subscriber,1986.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.1,21.0
3,638,21:06:16,21:16:54,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,3222,Hanson Pl & St Felix St,40.6851595999,-73.9771136642,21466,Subscriber,1974.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.1,21.0
4,278,21:07:57,21:12:36,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,22698,Subscriber,1984.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.1166666667,21.0
5,117,21:17:10,21:19:08,384,Fulton St & Washington Ave,40.683048,-73.964915,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,23713,Subscriber,1968.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.2833333333,21.0
6,81,21:17:57,21:19:18,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,3232,Bond St & Fulton St,40.6896218879,-73.9830426872,23952,Subscriber,1975.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.2833333333,21.0
7,214,21:21:49,21:25:23,3232,Bond St & Fulton St,40.6896218879,-73.9830426872,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,19847,Subscriber,1975.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.35,21.0
8,198,21:56:33,21:59:51,384,Fulton St & Washington Ave,40.683048,-73.964915,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,22261,Subscriber,1940.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.9333333333,21.0
9,339,21:11:09,21:16:49,384,Fulton St & Washington Ave,40.683048,-73.964915,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,19618,Subscriber,1989.0,2,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.1833333333,21.0
10,329,21:11:19,21:16:48,384,Fulton St & Washington Ave,40.683048,-73.964915,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,20915,Subscriber,1971.0,1,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.1833333333,21.0
11,292,21:19:57,21:24:49,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,18481,Subscriber,1984.0,1,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.3166666667,21.0
12,2657,21:47:11,22:31:29,384,Fulton St & Washington Ave,40.683048,-73.964915,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,24351,Subscriber,1984.0,1,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.7833333333,21.0
13,621,21:54:07,22:04:28,467,Dean St & 4 Ave,40.68312489,-73.97895137,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,24325,Subscriber,1975.0,1,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.9,21.0
14,701,21:56:10,22:07:52,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,392,Jay St & Tech Pl,40.695065,-73.987167,23767,Customer,,0,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.9333333333,21.0
15,694,21:56:13,22:07:48,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,392,Jay St & Tech Pl,40.695065,-73.987167,15797,Customer,,0,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.9333333333,21.0
16,257,21:39:17,21:43:35,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,262,Washington Park,40.6917823,-73.9737299,16873,Subscriber,1976.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,21.65,21.5
17,583,21:57:47,22:07:30,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,22052,Subscriber,1992.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,21.95,21.5
18,139,22:03:36,22:05:56,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,22015,Subscriber,1986.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,22.05,21.5
19,183,22:12:48,22:15:52,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,23820,Subscriber,1987.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,22.2,21.5
20,373,22:27:11,22:33:24,467,Dean St & 4 Ave,40.68312489,-73.97895137,239,Willoughby St & Fleet St,40.69196566,-73.9813018,22000,Subscriber,1989.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,22.45,21.5
21,1071,21:09:47,21:27:39,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,17772,Subscriber,1900.0,1,2016-01-05,2016-01-05,,2017-12-05 21:00:00,21:00:00,21.15,21.0
22,651,21:10:27,21:21:19,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,15068,Subscriber,1985.0,1,2016-01-05,2016-01-05,,2017-12-05 21:00:00,21:00:00,21.1666666667,21.0
23,138,21:12:19,21:14:38,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,18292,Subscriber,1984.0,2,2016-01-05,2016-01-05,,2017-12-05 21:00:00,21:00:00,21.2,21.0
