,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,stopdate,Event_type,End_Time,E_Time,TripStartHM,EventEndHM
0,245,19:51:10,19:55:16,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,16279,Subscriber,1968.0,1,2016-01-01,2016-01-01,,2017-12-06 19:40:00,19:40:00,19.85,19.6666666667
1,1500,20:10:30,20:35:31,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,22751,Subscriber,1981.0,1,2016-01-01,2016-01-01,,2017-12-06 19:40:00,19:40:00,20.1666666667,19.6666666667
4,496,19:47:06,19:55:22,243,Fulton St & Rockwell Pl,40.688226,-73.979382,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,16142,Subscriber,1981.0,1,2016-01-03,2016-01-03,,2017-12-06 19:40:00,19:40:00,19.7833333333,19.6666666667
5,474,19:47:17,19:55:12,243,Fulton St & Rockwell Pl,40.688226,-73.979382,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,17630,Subscriber,1976.0,1,2016-01-03,2016-01-03,,2017-12-06 19:40:00,19:40:00,19.7833333333,19.6666666667
6,357,19:47:38,19:53:36,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,262,Washington Park,40.6917823,-73.9737299,23418,Subscriber,1983.0,1,2016-01-03,2016-01-03,,2017-12-06 19:40:00,19:40:00,19.7833333333,19.6666666667
7,462,20:17:20,20:25:02,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,22686,Subscriber,1977.0,2,2016-01-03,2016-01-03,,2017-12-06 19:40:00,19:40:00,20.2833333333,19.6666666667
8,449,20:25:45,20:33:15,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,289,Monroe St & Classon Ave,40.6845683,-73.95881081,17772,Subscriber,1971.0,1,2016-01-03,2016-01-03,,2017-12-06 19:40:00,19:40:00,20.4166666667,19.6666666667
9,2414,20:29:37,21:09:52,467,Dean St & 4 Ave,40.68312489,-73.97895137,514,12 Ave & W 40 St,40.76087502,-74.00277668,23655,Subscriber,1985.0,1,2016-01-03,2016-01-03,,2017-12-06 19:40:00,19:40:00,20.4833333333,19.6666666667
10,2129,20:31:54,21:07:24,467,Dean St & 4 Ave,40.68312489,-73.97895137,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,23154,Customer,,0,2016-01-03,2016-01-03,,2017-12-06 19:40:00,19:40:00,20.5166666667,19.6666666667
15,321,19:43:57,19:49:19,243,Fulton St & Rockwell Pl,40.688226,-73.979382,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,20203,Subscriber,1976.0,1,2016-01-05,2016-01-05,,2017-12-06 19:40:00,19:40:00,19.7166666667,19.6666666667
16,461,19:47:21,19:55:02,243,Fulton St & Rockwell Pl,40.688226,-73.979382,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,21050,Subscriber,1971.0,1,2016-01-05,2016-01-05,,2017-12-06 19:40:00,19:40:00,19.7833333333,19.6666666667
17,269,19:49:41,19:54:11,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,21357,Subscriber,1966.0,1,2016-01-05,2016-01-05,,2017-12-06 19:40:00,19:40:00,19.8166666667,19.6666666667
