,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,stopdate,Event_type,End_Time,E_Time,TripStartHM,EventEndHM
0,1167,20:48:36,21:08:03,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,18292,Subscriber,1985.0,2,2016-01-01,2016-01-01,,2017-12-06 20:30:00,20:30:00,20.8,20.5
3,2129,20:31:54,21:07:24,467,Dean St & 4 Ave,40.68312489,-73.97895137,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,23154,Customer,,0,2016-01-03,2016-01-03,,2017-12-06 20:30:00,20:30:00,20.5166666667,20.5
4,296,20:40:11,20:45:07,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,19853,Subscriber,1986.0,1,2016-01-03,2016-01-03,,2017-12-06 20:30:00,20:30:00,20.6666666667,20.5
5,429,20:52:59,21:00:08,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,365,Fulton St & Grand Ave,40.68223166,-73.9614583,14673,Subscriber,1964.0,1,2016-01-03,2016-01-03,,2017-12-06 20:30:00,20:30:00,20.8666666667,20.5
6,705,20:58:36,21:10:21,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,418,Front St & Gold St,40.70224,-73.982578,22631,Subscriber,1988.0,2,2016-01-03,2016-01-03,,2017-12-06 20:30:00,20:30:00,20.9666666667,20.5
7,687,20:58:58,21:10:25,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,418,Front St & Gold St,40.70224,-73.982578,22134,Subscriber,1989.0,2,2016-01-03,2016-01-03,,2017-12-06 20:30:00,20:30:00,20.9666666667,20.5
8,292,21:19:57,21:24:49,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,18481,Subscriber,1984.0,1,2016-01-03,2016-01-03,,2017-12-06 20:30:00,20:30:00,21.3166666667,20.5
13,634,20:33:22,20:43:57,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,19590,Subscriber,1983.0,1,2016-01-05,2016-01-05,,2017-12-06 20:30:00,20:30:00,20.55,20.5
14,276,20:49:01,20:53:37,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,262,Washington Park,40.6917823,-73.9737299,22626,Subscriber,1976.0,1,2016-01-05,2016-01-05,,2017-12-06 20:30:00,20:30:00,20.8166666667,20.5
15,223,20:49:57,20:53:40,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,243,Fulton St & Rockwell Pl,40.688226,-73.979382,17833,Subscriber,1993.0,1,2016-01-05,2016-01-05,,2017-12-06 20:30:00,20:30:00,20.8166666667,20.5
