,start station id,start station name,start station latitude,start station longitude,Coordinates
255,72,W 52 St & 11 Ave,40.76727216,-73.99392888,"(40.767272159999997, -73.993928879999999)"
2152,79,Franklin St & W Broadway,40.71911552,-74.00666661,"(40.719115520000003, -74.006666609999996)"
383,82,St James Pl & Pearl St,40.71117416,-74.00016545,"(40.711174159999999, -74.000165449999997)"
356,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,"(40.68382604, -73.976323280000003)"
18,116,W 17 St & 8 Ave,40.74177603,-74.00149746,"(40.741776029999997, -74.001497459999996)"
2813,119,Park Ave & St Edwards St,40.69608941,-73.97803415,"(40.696089409999999, -73.978034149999999)"
880,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,"(40.686767930000002, -73.959281680000004)"
51,127,Barrow St & Hudson St,40.73172428,-74.00674436,"(40.731724280000002, -74.006744359999999)"
27,128,MacDougal St & Prince St,40.72710258,-74.00297088,"(40.72710258, -74.002970880000007)"
2462,137,E 56 St & Madison Ave,40.761628,-73.972924,"(40.761628000000002, -73.972924000000006)"
926,143,Clinton St & Joralemon St,40.69239502,-73.99337909,"(40.692395019999999, -73.993379090000005)"
4427,144,Nassau St & Navy St,40.69839895,-73.98068914,"(40.698398949999998, -73.980689139999996)"
488,146,Hudson St & Reade St,40.71625008,-74.0091059,"(40.716250080000002, -74.009105899999994)"
336,147,Greenwich St & Warren St,40.71542197,-74.01121978,"(40.715421970000001, -74.011219780000005)"
133,150,E 2 St & Avenue C,40.720873600000004,-73.98085795,"(40.720873600000004, -73.980857950000001)"
83,151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,"(40.722103786686027, -73.997249007225051)"
439,152,Warren St & Church St,40.71473993,-74.00910627,"(40.71473993, -74.009106270000004)"
56,153,E 40 St & 5 Ave,40.752062306999996,-73.9816324043,"(40.752062306999996, -73.981632404300001)"
149,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,"(40.690892720000001, -73.996123490000002)"
716308,160,E 37 St & Lexington Ave,40.44535,-73.978238,"(40.445349999999998, -73.978238000000005)"
78,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,"(40.729170250000003, -73.998102309999993)"
74,164,E 47 St & 2 Ave,40.75323098,-73.97032517,"(40.753230979999998, -73.970325169999995)"
146,167,E 39 St & 3 Ave,40.7489006,-73.97604882,"(40.748900599999999, -73.976048820000003)"
46,168,W 18 St & 6 Ave,40.73971301,-73.99456405,"(40.739713010000003, -73.994564049999994)"
28,173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,"(40.76068327096592, -73.984527289867415)"
136,174,E 25 St & 1 Ave,40.7381765,-73.97738662,"(40.738176500000002, -73.977386620000004)"
261,195,Liberty St & Broadway,40.70905623,-74.01043382,"(40.709056230000002, -74.010433820000003)"
123,212,W 16 St & The High Line,40.74334935,-74.00681753,"(40.743349350000003, -74.006817530000006)"
1739,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,"(40.700378669999999, -73.99548059)"
510,217,Old Fulton St,40.70277159,-73.99383605,"(40.702771589999998, -73.993836049999999)"
429,224,Spruce St & Nassau St,40.71146364,-74.00552427,"(40.711463639999998, -74.005524269999995)"
3944,225,W 14 St & The High Line,40.74195138,-74.00803013,"(40.741951380000003, -74.008030129999995)"
592,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,"(40.754601102599999, -73.971878855)"
143,229,Great Jones St,40.72743423,-73.99379025,"(40.72743423, -73.993790250000004)"
7390,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,"(40.695976829999999, -73.990148919999996)"
8,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,"(40.728418599999998, -73.987139560000003)"
25,237,E 11 St & 2 Ave,40.73047309,-73.98672378,"(40.730473089999997, -73.986723780000005)"
11,238,Bank St & Washington St,40.7361967,-74.00859207,"(40.736196700000001, -74.008592070000006)"
1103,239,Willoughby St & Fleet St,40.69196566,-73.9813018,"(40.691965660000001, -73.981301799999997)"
389,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,"(40.689810350000002, -73.974931209999994)"
