,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,stopdate,Event_type,End_Time,E_Time,TripStartHM,EventEndHM
0,397,21:51:17,21:57:54,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,365,Fulton St & Grand Ave,40.68223166,-73.9614583,14918,Subscriber,1970.0,1,2016-01-01,2016-01-01,,2017-12-06 21:18:00,21:18:00,21.85,21.3
1,492,22:10:10,22:18:22,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,18826,Subscriber,1988.0,2,2016-01-01,2016-01-01,,2017-12-06 21:18:00,21:18:00,22.1666666667,21.3
2,465,22:10:31,22:18:16,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,23306,Subscriber,1989.0,1,2016-01-01,2016-01-01,,2017-12-06 21:18:00,21:18:00,22.1666666667,21.3
3,218,21:06:04,21:09:42,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,17533,Subscriber,1986.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.1,21.0
4,638,21:06:16,21:16:54,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,3222,Hanson Pl & St Felix St,40.6851595999,-73.9771136642,21466,Subscriber,1974.0,1,2016-01-02,2016-01-02,basketball,2016-01-02 21:00:00,21:00:00,21.1,21.0
5,292,21:19:57,21:24:49,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,18481,Subscriber,1984.0,1,2016-01-03,2016-01-03,,2017-12-06 21:18:00,21:18:00,21.3166666667,21.3
6,621,21:54:07,22:04:28,467,Dean St & 4 Ave,40.68312489,-73.97895137,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,24325,Subscriber,1975.0,1,2016-01-03,2016-01-03,,2017-12-06 21:18:00,21:18:00,21.9,21.3
7,701,21:56:10,22:07:52,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,392,Jay St & Tech Pl,40.695065,-73.987167,23767,Customer,,0,2016-01-03,2016-01-03,,2017-12-06 21:18:00,21:18:00,21.9333333333,21.3
8,694,21:56:13,22:07:48,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,392,Jay St & Tech Pl,40.695065,-73.987167,15797,Customer,,0,2016-01-03,2016-01-03,,2017-12-06 21:18:00,21:18:00,21.9333333333,21.3
9,257,21:39:17,21:43:35,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,262,Washington Park,40.6917823,-73.9737299,16873,Subscriber,1976.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,21.65,21.5
10,583,21:57:47,22:07:30,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,22052,Subscriber,1992.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,21.95,21.5
11,183,22:12:48,22:15:52,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,23820,Subscriber,1987.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,22.2,21.5
12,373,22:27:11,22:33:24,467,Dean St & 4 Ave,40.68312489,-73.97895137,239,Willoughby St & Fleet St,40.69196566,-73.9813018,22000,Subscriber,1989.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,22.45,21.5
13,241,21:19:59,21:24:00,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,239,Willoughby St & Fleet St,40.69196566,-73.9813018,23418,Subscriber,1980.0,1,2016-01-05,2016-01-05,,2017-12-06 21:18:00,21:18:00,21.3166666667,21.3
