,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,stopdate,Event_type,End_Time,E_Time,TripStartHM,EventEndHM
0,393,22:20:16,22:26:50,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,23614,Subscriber,1984.0,1,2016-01-01,2016-01-01,,2017-12-06 22:18:00,22:18:00,22.3333333333,22.3
1,356,22:30:26,22:36:23,243,Fulton St & Rockwell Pl,40.688226,-73.979382,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,19096,Subscriber,1979.0,2,2016-01-01,2016-01-01,,2017-12-06 22:18:00,22:18:00,22.5,22.3
2,300,23:04:32,23:09:33,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,21991,Subscriber,1976.0,1,2016-01-01,2016-01-01,,2017-12-06 22:18:00,22:18:00,23.0666666667,22.3
5,361,22:21:43,22:27:44,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,24228,Subscriber,1980.0,1,2016-01-03,2016-01-03,,2017-12-06 22:18:00,22:18:00,22.35,22.3
10,435,22:39:21,22:46:36,243,Fulton St & Rockwell Pl,40.688226,-73.979382,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,17833,Subscriber,1983.0,1,2016-01-05,2016-01-05,,2017-12-06 22:18:00,22:18:00,22.65,22.3
22,722,22:22:06,22:34:09,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,16209,Subscriber,1990.0,1,2016-01-07,2016-01-07,,2017-12-06 22:18:00,22:18:00,22.3666666667,22.3
23,455,22:25:00,22:32:36,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,289,Monroe St & Classon Ave,40.6845683,-73.95881081,22981,Subscriber,1971.0,1,2016-01-07,2016-01-07,,2017-12-06 22:18:00,22:18:00,22.4166666667,22.3
24,346,22:36:14,22:42:00,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,21073,Subscriber,1986.0,1,2016-01-07,2016-01-07,,2017-12-06 22:18:00,22:18:00,22.6,22.3
25,2457,22:38:21,23:19:19,467,Dean St & 4 Ave,40.68312489,-73.97895137,523,W 38 St & 8 Ave,40.75466591,-73.99138152,23089,Subscriber,1986.0,1,2016-01-07,2016-01-07,,2017-12-06 22:18:00,22:18:00,22.6333333333,22.3
26,436,23:01:12,23:08:28,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,22514,Subscriber,1979.0,1,2016-01-07,2016-01-07,,2017-12-06 22:18:00,22:18:00,23.0166666667,22.3
33,275,22:19:09,22:23:45,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,14555,Subscriber,1977.0,2,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,22.3166666667,22.3
34,206,22:29:47,22:33:13,467,Dean St & 4 Ave,40.68312489,-73.97895137,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,17324,Subscriber,1986.0,1,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,22.4833333333,22.3
35,295,22:36:14,22:41:10,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,261,Johnson St & Gold St,40.69474881,-73.98362464,24132,Subscriber,1960.0,1,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,22.6,22.3
36,1352,22:52:35,23:15:08,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,23207,Subscriber,1971.0,2,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,22.8666666667,22.3
37,1186,22:55:35,23:15:21,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,24314,Subscriber,1970.0,2,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,22.9166666667,22.3
38,630,22:56:31,23:07:02,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,418,Front St & Gold St,40.70224,-73.982578,22417,Subscriber,1984.0,1,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,22.9333333333,22.3
39,576,23:03:14,23:12:50,467,Dean St & 4 Ave,40.68312489,-73.97895137,310,State St & Smith St,40.68926942,-73.98912867,23594,Subscriber,1978.0,1,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,23.05,22.3
40,219,23:06:02,23:09:41,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,23489,Subscriber,1985.0,1,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,23.1,22.3
41,424,23:16:51,23:23:55,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,262,Washington Park,40.6917823,-73.9737299,14647,Subscriber,1956.0,1,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,23.2666666667,22.3
42,411,23:16:58,23:23:50,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,262,Washington Park,40.6917823,-73.9737299,15990,Subscriber,1956.0,1,2016-01-09,2016-01-09,,2017-12-06 22:18:00,22:18:00,23.2666666667,22.3
43,241,22:27:55,22:31:56,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,24366,Subscriber,1987.0,1,2016-01-10,2016-01-10,,2017-12-06 22:18:00,22:18:00,22.45,22.3
44,604,22:46:28,22:56:32,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,289,Monroe St & Classon Ave,40.6845683,-73.95881081,23970,Subscriber,1998.0,2,2016-01-10,2016-01-10,,2017-12-06 22:18:00,22:18:00,22.7666666667,22.3
45,352,23:11:16,23:17:09,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,23871,Subscriber,1986.0,1,2016-01-10,2016-01-10,,2017-12-06 22:18:00,22:18:00,23.1833333333,22.3
