,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,stopdate,Event_type,End_Time,E_Time,TripStartHM,EventEndHM
0,397,21:51:17,21:57:54,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,365,Fulton St & Grand Ave,40.68223166,-73.9614583,14918,Subscriber,1970.0,1,2016-01-01,2016-01-01,,2017-12-06 20:54:00,20:54:00,21.85,20.9
3,705,20:58:36,21:10:21,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,418,Front St & Gold St,40.70224,-73.982578,22631,Subscriber,1988.0,2,2016-01-03,2016-01-03,,2017-12-06 20:54:00,20:54:00,20.9666666667,20.9
4,687,20:58:58,21:10:25,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,418,Front St & Gold St,40.70224,-73.982578,22134,Subscriber,1989.0,2,2016-01-03,2016-01-03,,2017-12-06 20:54:00,20:54:00,20.9666666667,20.9
5,292,21:19:57,21:24:49,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,18481,Subscriber,1984.0,1,2016-01-03,2016-01-03,,2017-12-06 20:54:00,20:54:00,21.3166666667,20.9
10,690,21:12:22,21:23:52,467,Dean St & 4 Ave,40.68312489,-73.97895137,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,23405,Subscriber,1987.0,1,2016-01-05,2016-01-05,,2017-12-06 20:54:00,20:54:00,21.2,20.9
11,314,21:14:05,21:19:20,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,23276,Subscriber,1969.0,1,2016-01-05,2016-01-05,,2017-12-06 20:54:00,20:54:00,21.2333333333,20.9
12,241,21:19:59,21:24:00,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,239,Willoughby St & Fleet St,40.69196566,-73.9813018,23418,Subscriber,1980.0,1,2016-01-05,2016-01-05,,2017-12-06 20:54:00,20:54:00,21.3166666667,20.9
13,541,21:27:44,21:36:46,243,Fulton St & Rockwell Pl,40.688226,-73.979382,354,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,18744,Subscriber,1981.0,1,2016-01-05,2016-01-05,,2017-12-06 20:54:00,20:54:00,21.45,20.9
14,796,21:35:14,21:48:31,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,21652,Subscriber,1963.0,1,2016-01-05,2016-01-05,,2017-12-06 20:54:00,20:54:00,21.5833333333,20.9
26,659,21:02:27,21:13:26,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,23414,Subscriber,1974.0,2,2016-01-07,2016-01-07,,2017-12-06 20:54:00,20:54:00,21.0333333333,20.9
27,339,21:02:39,21:08:19,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,22445,Subscriber,1970.0,1,2016-01-07,2016-01-07,,2017-12-06 20:54:00,20:54:00,21.0333333333,20.9
28,693,21:04:47,21:16:21,467,Dean St & 4 Ave,40.68312489,-73.97895137,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,15173,Subscriber,1975.0,1,2016-01-07,2016-01-07,,2017-12-06 20:54:00,20:54:00,21.0666666667,20.9
29,339,21:13:49,21:19:28,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,22344,Subscriber,1969.0,1,2016-01-07,2016-01-07,,2017-12-06 20:54:00,20:54:00,21.2166666667,20.9
30,463,21:35:15,21:42:59,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,19420,Subscriber,1981.0,1,2016-01-07,2016-01-07,,2017-12-06 20:54:00,20:54:00,21.5833333333,20.9
31,1699,21:36:06,22:04:25,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,14590,Subscriber,1983.0,1,2016-01-07,2016-01-07,,2017-12-06 20:54:00,20:54:00,21.6,20.9
32,567,21:36:56,21:46:24,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,278,Concord St & Bridge St,40.69766564,-73.98476437,22445,Subscriber,1981.0,1,2016-01-07,2016-01-07,,2017-12-06 20:54:00,20:54:00,21.6,20.9
